Country Name,Regional indicator,Ladder Score,Log GDP per capita,Social support,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,2018_gdp,2018_growth,2018_life,2018_co2
Israel,Middle East and North Africa,6.927,10.585,0.91,0.725,0.055,0.77,0.663,0.282,3.70E+11,3.479370319,82.80243902,61970
Italy,Western Europe,6.517,10.65,0.913,0.65,-0.021,0.888,0.649,0.403,2.09E+12,0.941737193,83.34634146,324850
Japan,East Asia,5.794,10.623,0.886,0.773,-0.261,0.687,0.703,0.185,5.04E+12,0.558851275,84.21097561,1106150
Jordan,Middle East and North Africa,4.639,9.196,0.8,0.762,-0.186,,,,42932112676,1.934091701,74.405,24700
Kazakhstan,Commonwealth of Independent States,6.008,10.148,0.937,0.84,-0.098,0.824,0.693,0.162,1.79E+11,4.1,73.15,220450
Kenya,Sub-Saharan Africa,4.656,8.344,0.707,0.821,0.291,0.844,0.759,0.237,87778582964,6.318450702,66.342,18400
Kosovo,Central and Eastern Europe,6.392,9.296,0.822,0.89,0.269,0.922,0.778,0.17,7942961738,3.813314743,72.24390244,
Latvia,Central and Eastern Europe,5.901,10.307,0.913,0.608,-0.212,0.799,0.585,0.192,34399206590,4.024311045,74.78292683,7630
Lebanon,Middle East and North Africa,5.167,9.656,0.829,0.607,-0.066,0.907,0.464,0.271,54961275742,-1.926404771,78.875,27710
Liberia,Sub-Saharan Africa,4.135,7.311,0.727,0.766,0.05,0.868,0.66,0.436,3264000000,1.222551313,63.73,1320
Libya,Middle East and North Africa,5.494,9.617,0.824,0.781,-0.101,0.646,0.706,0.399,52607888718,15.13279989,72.724,58940
Lithuania,Central and Eastern Europe,6.309,10.474,0.929,0.699,-0.237,0.852,0.517,0.214,53696648755,3.936845901,75.6804878,11590
Luxembourg,Western Europe,7.243,11.645,0.902,0.884,-0.022,0.385,0.75,0.202,70885325883,3.110836266,82.29512195,9320
Madagascar,Sub-Saharan Africa,4.071,7.386,0.666,0.551,0.003,0.889,0.752,0.362,13614412551,3.2,66.681,3370
Malawi,Sub-Saharan Africa,3.335,6.949,0.528,0.799,0.073,0.766,0.586,0.365,9712994565,4.420621465,63.798,1570
Malaysia,Southeast Asia,5.339,10.223,0.789,0.875,0.127,0.894,0.824,0.2,3.59E+11,4.769927024,75.997,239620
Maldives,South Asia,5.198,9.826,0.913,0.855,0.024,,,,5299773144,8.128813661,78.627,1910
Mali,Sub-Saharan Africa,4.416,7.733,0.692,0.737,-0.034,0.793,0.77,0.37,17070866299,4.746484327,58.893,5620
Malta,Western Europe,6.91,10.67,0.932,0.927,0.179,0.595,0.721,0.296,14864712990,5.179224796,82.44878049,1550
Mauritania,Sub-Saharan Africa,4.314,8.526,0.802,0.467,-0.112,0.711,0.663,0.276,7050987978,2.115267637,64.704,4000
Mauritius,Sub-Saharan Africa,5.882,10.008,0.909,0.867,-0.073,0.785,0.774,0.158,14181930162,3.759677231,74.41634146,4130
Mexico,Latin America and Caribbean,6.55,9.903,0.858,0.816,-0.179,0.809,0.882,0.213,1.22E+12,2.194992049,74.992,472140
Moldova,Commonwealth of Independent States,5.682,9.423,0.892,0.824,-0.084,0.929,0.582,0.27,11456728401,4.301477742,71.808,8590
Mongolia,East Asia,5.465,9.386,0.942,0.696,0.054,0.849,0.654,0.192,13108769496,7.246629636,69.689,21320
Montenegro,Central and Eastern Europe,5.65,9.934,0.856,0.626,-0.051,0.769,0.59,0.355,5506767832,5.077865034,76.77,2520
Morocco,Middle East and North Africa,4.897,8.914,0.554,0.773,-0.234,0.843,0.638,0.416,1.18E+11,3.148502644,76.453,66680
